"gene","celltype","sample","mean_logexpr","pct_expr"
"Aqp4","Pericytes","Sample1",0,0
"Gja1","Pericytes","Sample1",0,0
"Cldn5","Astrocytes","Sample2",0.0054,0.0033
"Ocln","Astrocytes","Sample2",0.0302,0.0164
"Tjp1","Astrocytes","Sample2",1.513,0.6885
"Jam2","Astrocytes","Sample2",0.3702,0.223
"Cgn","Astrocytes","Sample2",0.0127,0.0066
"Esam","Astrocytes","Sample2",0,0
"Mfsd2a","Astrocytes","Sample2",0.0636,0.0426
"Plvap","Astrocytes","Sample2",0.0087,0.0066
"Cav1","Astrocytes","Sample2",0.0121,0.0066
"Slc2a1","Astrocytes","Sample2",0.1351,0.0885
"Abcb1a","Astrocytes","Sample2",0.0956,0.0459
"Abcg2","Astrocytes","Sample2",0.1354,0.0689
"Slco1a4","Astrocytes","Sample2",0.0614,0.0262
"Vcam1","Astrocytes","Sample2",0.1558,0.0918
"Icam1","Astrocytes","Sample2",0.0161,0.0098
"Vwf","Astrocytes","Sample2",0.0154,0.0066
"Angpt2","Astrocytes","Sample2",0.0564,0.0295
"Pdgfrb","Astrocytes","Sample2",0.5289,0.2984
"Rgs5","Astrocytes","Sample2",0.0087,0.0033
"Kcnj8","Astrocytes","Sample2",0,0
"Anpep","Astrocytes","Sample2",0.0289,0.0164
"Vtn","Astrocytes","Sample2",0.0871,0.0426
"Notch3","Astrocytes","Sample2",0.1397,0.0852
"Aqp4","Astrocytes","Sample2",0.4746,0.259
"Gja1","Astrocytes","Sample2",0.7628,0.4197
"Cldn5","Choroid plexus","Sample2",0,0
"Ocln","Choroid plexus","Sample2",0.4324,0.2222
"Tjp1","Choroid plexus","Sample2",0.3543,0.2593
"Jam2","Choroid plexus","Sample2",0,0
"Cgn","Choroid plexus","Sample2",0.1489,0.1111
"Esam","Choroid plexus","Sample2",0,0
"Mfsd2a","Choroid plexus","Sample2",0.0469,0.037
"Plvap","Choroid plexus","Sample2",0.0446,0.037
"Cav1","Choroid plexus","Sample2",0,0
"Slc2a1","Choroid plexus","Sample2",0.1493,0.1111
