"gene","celltype","n_S1","n_S2","mean_S1","mean_S2","sd_S1","sd_S2","sem_S1","sem_S2","delta","W_stat","p_value","p_adj","sig"
"Tyrobp","Excitatory neurons",1786,2414,0.00157339509944029,0.00241186653768028,0.0281978123284503,0.0411599971197815,0.000667228653618599,0.000837735081921207,0.000838471438239989,2156513,0.839989090486823,0.895988363185944,"ns"
"Mrc1","Excitatory neurons",1786,2414,0.000660796096700752,0.00145784174089537,0.0213585316519177,0.0456034290052742,0.000505394679253207,0.00092817286217109,0.000797045644194615,2156861,0.648514701840813,0.791375992670959,"ns"
"Tmem119","Excitatory neurons",1786,2414,0.000696762824213913,0.00131918574832629,0.0174323837537068,0.0292590797611236,0.000412492494306481,0.000595514074242825,0.000622422924112377,2156553.5,0.77178086108338,0.84279621913083,"ns"
"Aqp4","Excitatory neurons",1786,2414,0.00771753867224552,0.00717212966894877,0.0700755284440053,0.0883676697810638,0.00165815702121439,0.00179855933584717,-0.00054540900329675,2149384,0.372134305518629,0.541286262572551,"ns"
"Isg15","Excitatory neurons",1786,2414,0.000967853211192531,0.00146905667753989,0.0236927778812475,0.0336863699196249,0.000560628608420067,0.000685623319703354,0.000501203466347356,2156550.5,0.772563200869927,0.84279621913083,"ns"
"Ccl5","Excitatory neurons",1786,2414,0.00044354023228949,0,0.0187444951028222,0,0.000443540232289497,0,-0.00044354023228949,2154495,0.245189999739175,0.41369881346817,"ns"
"Arg1","Excitatory neurons",1786,2414,0.000342723893645333,0,0.0144838864174603,0,0.000342723893645329,0,-0.000342723893645333,2154495,0.245189999739175,0.41369881346817,"ns"
"Jun","Excitatory neurons",1786,2414,0.0256904226905248,0.0254210613201076,0.145136319213296,0.140421944630586,0.00343427744435834,0.00285802715064097,-0.000269361370417158,2155055.5,0.959014084473995,0.959014084473995,"ns"
"Aif1","Excitatory neurons",1786,2414,0.00174548025250826,0.00200195124285232,0.0342524156688063,0.0362653867478656,0.000810495258414902,0.000738114403888684,0.000256470990344066,2156810,0.767010463409773,0.84279621913083,"ns"
"Ccl3","Excitatory neurons",1786,2414,0.000255124013990268,0,0.0107818197374523,0,0.000255124013990276,0,-0.000255124013990268,2154495,0.245189999739175,0.41369881346817,"ns"
"Ccl4","Excitatory neurons",1786,2414,0.000161450335015112,0,0.00682306765818817,0,0.00016145033501511,0,-0.000161450335015112,2154495,0.245189999739175,0.41369881346817,"ns"
"C3","Excitatory neurons",1786,2414,0,0,0,0,0,0,0,2155702,NA,NA,""
