"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","celltype","direction"
"GO:0021953","central nervous system neuron differentiation","11/299","185/17758",0.000308935923405165,0.0144638182321509,0.0122786016128496,"Zeb2/Brinp1/Nfix/Dcx/Slit2/Nfib/Plxna4/Prkca/Rapgef2/Sox5/Cdh11",11,"Excitatory neurons","Up"
"GO:0006937","regulation of muscle contraction","10/299","157/17758",0.000334269258105275,0.0153914892194856,0.0130661185947737,"Ryr2/Chrm3/Dlg1/Prkca/Dmd/Prkg1/Npnt/Atp1a1/Dock4/Arhgap42",10,"Excitatory neurons","Up"
"GO:0048813","dendrite morphogenesis","11/299","187/17758",0.000338712384118129,0.0153914892194856,0.0130661185947737,"Kalrn/Hecw2/Ppfia2/Ptprd/Dcx/Dscam/Epha5/Rapgef2/Trpc5/Itpka/Trpc6",11,"Excitatory neurons","Up"
"GO:0045666","positive regulation of neuron differentiation","8/299","103/17758",0.000350484618048224,0.0156956155038987,0.0133242969973482,"Tcf4/Brinp1/Mef2c/Dab1/Dmd/Rgs6/Trpc5/Trpc6",8,"Excitatory neurons","Up"
"GO:0048846","axon extension involved in axon guidance","5/299","37/17758",0.000366763544015094,0.0159428414909474,0.0135341716898112,"Slit2/Plxna4/Dscam/Sema6d/Slit1",5,"Excitatory neurons","Up"
"GO:1902284","neuron projection extension involved in neuron projection guidance","5/299","37/17758",0.000366763544015094,0.0159428414909474,0.0135341716898112,"Slit2/Plxna4/Dscam/Sema6d/Slit1",5,"Excitatory neurons","Up"
"GO:0030900","forebrain development","17/299","392/17758",0.000371483685225959,0.0159428414909474,0.0135341716898112,"Zeb2/Nfix/Dab1/Dcx/Slit2/Nrg3/Ext1/Nfib/Plxna4/Large1/Slc1a2/Epha5/Prkg1/Fat4/Rapgef2/Sun1/Slit1",17,"Excitatory neurons","Up"
"GO:0007626","locomotory behavior","13/299","256/17758",0.000420045739713819,0.0177800182974754,0.0150937849079573,"Kalrn/Grin2a/Dab1/Apba2/Sobp/Large1/Dscam/Dmd/Oxr1/Pcdh15/Adcy8/Crhr1/Zdhhc8",13,"Excitatory neurons","Up"
"GO:0008015","blood circulation","19/299","472/17758",0.000431190371219295,0.0177876841709266,0.0151002926090782,"Ryr2/Cacna2d1/Zeb2/Slit2/Asic2/Chrm3/Uty/Ext1/Dlg1/Prkca/Pparg/Dmd/Prkg1/Npr3/Atp1a1/Mgll/Dock4/Arhgap42/Faah",19,"Excitatory neurons","Up"
"GO:0003018","vascular process in circulatory system","12/299","224/17758",0.000431739907061324,0.0177876841709266,0.0151002926090782,"Zeb2/Slit2/Asic2/Chrm3/Ext1/Prkg1/Npr3/Mgll/Dock4/Arhgap42/Abcg2/Faah",12,"Excitatory neurons","Up"
