"gene","celltype","n_S1","n_S2","mean_S1","mean_S2","sd_S1","sd_S2","sem_S1","sem_S2","delta","W_stat","p_value","p_adj","sig"
"Tgfb1","Microglia",84,113,0.391115287781412,0.454603942656845,0.792168470655638,0.868182582026815,0.086432666188973,0.0816717472479779,0.0634886548754331,4889,0.615129997373105,0.99460478023998,"ns"
"Slc1a3","Microglia",84,113,0.545517922125957,0.596450871666713,1.00953031018368,1.02183228715683,0.110148787208785,0.0961258956516575,0.0509329495407564,4869,0.685574483674784,0.99460478023998,"ns"
"Slc1a2","Microglia",84,113,0.0930655076214257,0.142325776717353,0.437227661356683,0.519447936217462,0.0477054489070362,0.0488655513638558,0.0492602690959273,4856,0.504470763915945,0.958494451440296,"ns"
"Tubb3","Microglia",84,113,0.0481433161310793,0,0.264922380205306,0,0.0289054014423497,0,-0.0481433161310793,4576.5,0.0440924690584416,0.321717465139266,"ns"
"Dlg4","Microglia",84,113,0.0344303789030491,0.0782752179496417,0.224647872211241,0.411621500119683,0.0245110923599709,0.0387220935037947,0.0438448390465926,4805,0.619496404262688,0.99460478023998,"ns"
"Ccl3","Microglia",84,113,0.0430348561775221,0,0.277259852041245,0,0.030251529979792,0,-0.0430348561775221,4633,0.101594988991347,0.321717465139266,"ns"
"Casp1","Microglia",84,113,0.0785276804980328,0.0377331065141997,0.41256265144816,0.282821980184233,0.0450142756945923,0.026605653879688,-0.0407945739838332,4659.5,0.425090995363484,0.850181990726967,"ns"
"Tyrobp","Microglia",84,113,0.14947021398381,0.187520999674457,0.506989435669717,0.606385005110913,0.055317082511891,0.057043902858273,0.0380507856906469,4796.5,0.795312158763152,0.99460478023998,"ns"
"Gja1","Microglia",84,113,0.033009545638393,0,0.215654979230205,0,0.0235298872932511,0,-0.033009545638393,4633,0.101594988991347,0.321717465139266,"ns"
"Stat3","Microglia",84,113,0.491840064794831,0.519506868853197,0.891190463663595,0.969302256844188,0.0972368513895528,0.0911842860784645,0.0276668040583661,4743.5,0.99460478023998,0.99460478023998,"ns"
"Casp3","Microglia",84,113,0.0463339462527842,0.0186762031200328,0.298527970865884,0.198530762394199,0.0325720719893925,0.0186762031200328,-0.0276577431327514,4676,0.407716936986631,0.850181990726967,"ns"
"Aif1","Microglia",84,113,0.136121561850477,0.160435578673755,0.494805635073804,0.585725085327645,0.053987720881343,0.0551003810903479,0.0243140168232786,4764,0.920920545867894,0.99460478023998,"ns"
"Map2","Microglia",84,113,0.212161824718279,0.234236981461183,0.633276848597788,0.694263863698998,0.0690961689181536,0.0653108504746273,0.0220751567429045,4760.5,0.947343856626633,0.99460478023998,"ns"
"Bax","Microglia",84,113,0.122183406151949,0.143192553194822,0.497123810895757,0.563251700732846,0.0542406545998743,0.0529862629031941,0.0210091470428721,4766,0.905382425309609,0.99460478023998,"ns"
"Mrc1","Microglia",84,113,0.1568562096538,0.136366232369668,0.722310212498663,0.659968517246487,0.0788105053336848,0.062084615664995,-0.0204899772841323,4729,0.908254181948693,0.99460478023998,"ns"
"Bace1","Microglia",84,113,0.0545964877894784,0.0738541654867005,0.351868973576664,0.389167552965039,0.0383920525267019,0.0366098038371991,0.019257677697222,4799,0.655861257807914,0.99460478023998,"ns"
"Syn1","Microglia",84,113,0.0791469024729071,0.0982393733552368,0.358501040580695,0.459623327375818,0.0391156703614636,0.0432377255658338,0.0190924708823296,4740,0.969357891462146,0.99460478023998,"ns"
"C3","Microglia",84,113,0.0184919874124024,0,0.16948186413501,0,0.0184919874124024,0,-0.0184919874124024,4689.5,0.25031694487956,0.679431707530235,"ns"
"Aldh1l1","Microglia",84,113,0,0.018383578514063,0,0.195420120164345,0,0.018383578514063,0.018383578514063,4788,0.39425804520316,0.850181990726967,"ns"
"Fos","Microglia",84,113,0,0.0175024388517155,0,0.186053477072207,0,0.0175024388517154,0.0175024388517155,4788,0.39425804520316,0.850181990726967,"ns"
"Serping1","Microglia",84,113,0,0.0169426654941435,0,0.180103004659133,0,0.0169426654941435,0.0169426654941435,4788,0.39425804520316,0.850181990726967,"ns"
"App","Microglia",84,113,0.800096241360502,0.815308044798896,1.06935286540937,1.12951648785634,0.116675963103723,0.10625597313098,0.0152118034383941,4848,0.766287184972511,0.99460478023998,"ns"
"Dcx","Microglia",84,113,0.0379309777491684,0.0530970910824056,0.278371626205063,0.323277476672077,0.0303728344860156,0.0304113868583815,0.0151661133332371,4759,0.907705522118784,0.99460478023998,"ns"
"Rbfox3","Microglia",84,113,0.0466704015130746,0.0369632612499052,0.311016074684033,0.276597003087524,0.0339346358235148,0.0260200572936796,-0.00970714026316941,4717,0.768167749302213,0.99460478023998,"ns"
"Camk2a","Microglia",84,113,0.18813562546739,0.197309037328076,0.610732475841125,0.640215167205465,0.0666363761883273,0.0602263768045875,0.00917341186068554,4720,0.897426990380963,0.99460478023998,"ns"
"Tmem119","Microglia",84,113,0.233784118358834,0.224741681657724,0.687526870550538,0.660403932474862,0.0750153315860463,0.0621255760841694,-0.00904243670110966,4738.5,0.973657575443102,0.99460478023998,"ns"
