"","g0","g1","g2","g3","g4","g5","g6","g7","g8","g9","g10","g11","g12","g13","g14","g15","g16"
"Cx3cr1",0.0439279485540641,0.0275816328428261,0.0293682145778213,0.027247621640283,0.067807261700832,0.0326323212230406,0.0108017694701974,0.0224238961600848,0.0867187726639065,0.0395431549469664,0.0854401160757781,0.0164304086478572,6.31907114149254,0.0265922155979832,0.14662736876712,0.160351391469535,0.799633917081213
"Gja1",0.0119219534601111,0.0102219260954514,0.0164615551389761,0.0372020548576651,0.0750286091461217,0.0271835740907418,0.0134329617878233,0.00392577151224644,2.82017014481348,0.00816441165616724,0.447279991690768,0.0178240008577415,0,0.0272019675426081,0.0499971747441482,0,0
"S100b",0.0137467925356217,0.0123406956044075,0.0201823300733922,0.0111391414601545,0.213024778096556,0.0120709081257634,0.00349853166625967,0.0261220336136193,0.459160251997247,0.0128548320491564,0.17873720336519,0.00569948659024795,0,0.0105252521850424,0.390609015628687,0,0.131262880170117
"Cd68",0.00808487056122231,0,0,0.0174684570696392,0.0130092977450984,0.00261357963707833,0.00277365735568383,0.00425881854748466,0.00948730598459262,0,0,0,0.0441988950276243,0.0131088946375535,0.0369545272728132,0,0
"Dlg4",0.869897668913579,0.680808646526168,0.616488950038257,0.909754577518558,0.096654339260725,0.784766085559386,0.503502227771371,0.695354923623346,0.888162232262178,0.855584080129104,0.327817454245436,0.93771441451687,0.264091536460238,1.01567301367631,0.593555400269355,0.996738000137615,0.546733931391679
"Stat3",0.435110547648229,0.34938892528899,0.27311733644406,0.34005842273744,0.753450974090123,0.358258985563248,0.425462538581568,0.219553534053411,1.03865186266895,0.29830048167877,2.0416538134496,0.136665466673215,1.97963195608425,0.402766932393745,0.972186751471761,0.519336198942465,0.76936221704203
"Gfap",0.00422834411279192,0,0.00214684367822162,0.00156215242108631,0,0,0,0,0.535466414954032,0,0.012754125959748,0.00540919476563041,0,0.0157878782775635,0,0.0796838146235737,0.118695770869684
"Sox9",0.00666129700399951,0.0117612364049751,0.00643209519236948,0.0125522655811092,0.0601681959780433,0.00311263699493574,0.00593207826936059,0.0272467494585196,0.84961051230234,0.00689677051823713,0.0556594532015317,0.00294593155069123,0,0,0,0,0.129602699645986
"Rbfox3",2.6658374815811,6.2048740467761,4.19959321858654,5.89662256239023,0.0739007328226789,5.26597612354245,2.38520010702224,4.38978277021664,0.118547702535504,5.94894759410877,0.135712721043732,3.86177602356599,0.138408112684773,2.19226273623309,0.14304562433002,3.23724766429937,0.0677029735145967
"Fos",0.0267732801375272,0.0542808066680537,0.0893514761460135,0.0121788541555478,0,0.0443768021606683,0.144449900015483,0.0825161497376326,0.0396874842089071,0,0.170697069608158,0.0144438522675996,0.049813200498132,0.0873994237954071,0,0.0257385424341805,0
