"gene","cluster","mean_logexpr"
"Tyrobp","g3",0.000968766953421685
"Tyrobp","g4",0.00408298375113139
"Tyrobp","g5",0
"Tyrobp","g6",0.0146553644496031
"Tyrobp","g7",0
"Tyrobp","g8",0
"Tyrobp","g9",0.0474167362112131
"Tyrobp","g10",0.444698627099243
"Tyrobp","g11",0
"Tyrobp","g12",0
"Tyrobp","g13",0
"Tyrobp","g14",0
"Tyrobp","g15",0
"Tyrobp","g16",0
"Bax","g0",0.154659529321653
"Bax","g1",0.144872615514439
"Bax","g2",0.13509200565507
"Bax","g3",0.179370682207992
"Bax","g4",0.11384494784689
"Bax","g5",0.121606631237428
"Bax","g6",0.200707752415635
"Bax","g7",0.126020816587574
"Bax","g8",0.216781089861997
"Bax","g9",0.31778714751753
"Bax","g10",0.441849702821005
"Bax","g11",0.229198068390665
"Bax","g12",0.259192709160568
"Bax","g13",0.0736042014423869
"Bax","g14",0.808846809331161
"Bax","g15",0.170158132335051
"Bax","g16",0.0163493262442655
"Itgam","g0",0.003967590484762
"Itgam","g1",0.00569660509336873
"Itgam","g2",0.0113857865791366
"Itgam","g3",0.00472336633766739
"Itgam","g4",0.00347935940224349
"Itgam","g5",0.00133944118513756
"Itgam","g6",0
"Itgam","g7",0
"Itgam","g8",0
"Itgam","g9",0
"Itgam","g10",3.29139285385154
"Itgam","g11",0.0506040548542416
"Itgam","g12",0
"Itgam","g13",0
"Itgam","g14",0
"Itgam","g15",0
"Itgam","g16",0
"Casp3","g0",0.119325190940522
"Casp3","g1",0.0668225098661453
"Casp3","g2",0.0048380685625487
"Casp3","g3",0.0305132940742696
"Casp3","g4",0.043364241593484
"Casp3","g5",0.0508130881227596
"Casp3","g6",0.095809943358491
"Casp3","g7",0.0563990304506474
"Casp3","g8",0.0152508071489684
"Casp3","g9",0.242153294635077
"Casp3","g10",0.141169871592948
"Casp3","g11",0.121788862703862
"Casp3","g12",0
"Casp3","g13",0.287660603621211
"Casp3","g14",0.0804993569493886
"Casp3","g15",0.0445335114673792
"Casp3","g16",0
"Tubb3","g0",0.545124318599457
"Tubb3","g1",0.429326099987739
"Tubb3","g2",0.433925958746455
"Tubb3","g3",0.613658492815733
"Tubb3","g4",0.465284460674636
"Tubb3","g5",0.438204460942072
"Tubb3","g6",0.0814377383533426
"Tubb3","g7",0.308155836397008
"Tubb3","g8",0.285309424687711
"Tubb3","g9",0.193045122154607
"Tubb3","g10",0.0663290247787271
"Tubb3","g11",0.27159564121436
"Tubb3","g12",0.0709416079624861
"Tubb3","g13",0.766081675250479
"Tubb3","g14",0.037312875927225
"Tubb3","g15",0.4732784338882
"Tubb3","g16",0.10278850768289
"Casp1","g0",0.00143991048614605
"Casp1","g1",0.00434606832599116
"Casp1","g2",0
"Casp1","g3",0
"Casp1","g4",0
"Casp1","g5",0
"Casp1","g6",0
"Casp1","g7",0
"Casp1","g8",0
"Casp1","g9",0
"Casp1","g10",0.283833172999273
"Casp1","g11",0
"Casp1","g12",0
"Casp1","g13",0
"Casp1","g14",0
"Casp1","g15",0
"Casp1","g16",0
"Bace1","g0",0.314649014082707
"Bace1","g1",0.293325575400013
"Bace1","g2",0.183268635572003
"Bace1","g3",0.810034749537094
"Bace1","g4",0.205213756310548
"Bace1","g5",0.261942394471506
"Bace1","g6",0.408752951463641
"Bace1","g7",0.297030925861923
"Bace1","g8",0.29137603478439
"Bace1","g9",0.364140126854068
"Bace1","g10",0.241773026230706
"Bace1","g11",0.25835049662426
"Bace1","g12",0.0727882741481791
"Bace1","g13",0.184613593283499
"Bace1","g14",0.511815589802891
"Bace1","g15",0.157570731829933
"Bace1","g16",0.583801233545756
"Cx3cr1","g0",0.0420048456343935
"Cx3cr1","g1",0.0327368587400253
"Cx3cr1","g2",0.031021986401537
"Cx3cr1","g3",0.0274793378093742
"Cx3cr1","g4",0.0227611297526242
"Cx3cr1","g5",0.0461789069434923
"Cx3cr1","g6",0.0364560507372889
"Cx3cr1","g7",0.0625355436693648
"Cx3cr1","g8",0.0454958025836976
"Cx3cr1","g9",0.124774226270587
"Cx3cr1","g10",4.98147099078577
"Cx3cr1","g11",0.0245572330874336
"Cx3cr1","g12",0.228654978706948
"Cx3cr1","g13",0.126971228319663
"Cx3cr1","g14",0.696344071695549
"Cx3cr1","g15",0
"Cx3cr1","g16",0.390648910186265
"Arg1","g0",0.000973568112528897
"Arg1","g1",0
"Arg1","g2",0
"Arg1","g3",0.014146172399403
"Arg1","g4",0
"Arg1","g5",0
"Arg1","g6",0
"Arg1","g7",0.0042427605776264
"Arg1","g8",0
"Arg1","g9",0
"Arg1","g10",0
"Arg1","g11",0
"Arg1","g12",0
"Arg1","g13",0
"Arg1","g14",0
"Arg1","g15",0
"Arg1","g16",0
"S100b","g0",0.0118396711113214
"S100b","g1",0.0480554113980697
"S100b","g2",0.0123163636400774
"S100b","g3",0.293157980037752
"S100b","g4",0.00184926425172481
"S100b","g5",0.0263533863661446
"S100b","g6",0.375260860500809
"S100b","g7",0.00649492778614541
"S100b","g8",0.0258766228542544
"S100b","g9",0
"S100b","g10",0
"S100b","g11",0.511467362111777
"S100b","g12",0
"S100b","g13",0
"S100b","g14",0
"S100b","g15",0
"S100b","g16",0.31082929255253
"Cd68","g0",0.00254819451889669
"Cd68","g1",0.00975656024295896
"Cd68","g2",0.0314227799222632
"Cd68","g3",0.0117731548523058
"Cd68","g4",0.00249577465351161
"Cd68","g5",0.00490196078431373
"Cd68","g6",0
"Cd68","g7",0.00458162438743682
"Cd68","g8",0.00660977413740795
"Cd68","g9",0
