"gene","cluster","mean_logexpr"
"Syp","g15",0.79141171420516
"Syp","g16",0.135487160171421
"Syn1","g0",1.4236098649762
"Syn1","g1",1.66042737579965
"Syn1","g2",0.997751519486763
"Syn1","g3",0.233021343110118
"Syn1","g4",1.47084658358616
"Syn1","g5",1.36494173333527
"Syn1","g6",0.112642631222197
"Syn1","g7",1.41233420244605
"Syn1","g8",1.50584469501039
"Syn1","g9",0.359238167584907
"Syn1","g10",0.26685794642368
"Syn1","g11",0.64375417246599
"Syn1","g12",0.270025681830119
"Syn1","g13",0.662847261688948
"Syn1","g14",0.037312875927225
"Syn1","g15",0.861874366756897
"Syn1","g16",0.167247601172102
"Dcx","g0",1.1873348645221
"Dcx","g1",1.21670440983948
"Dcx","g2",0.4272947986122
"Dcx","g3",0.130164785653404
"Dcx","g4",0.448419728385456
"Dcx","g5",1.38282342404447
"Dcx","g6",0.030716597582865
"Dcx","g7",0.703798453383189
"Dcx","g8",1.08491001126578
"Dcx","g9",0.09478313618441
"Dcx","g10",0.0114007535898123
"Dcx","g11",1.01543923218585
"Dcx","g12",0
"Dcx","g13",1.08413705323422
"Dcx","g14",0.102563713084891
"Dcx","g15",0.433504799986848
"Dcx","g16",0.0980959574655929
