"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","celltype"
0.443741340854213,-1.28669944050107,0.074,0.136,1,"Rnps1","Choroid plexus"
0.443741340854213,0.918060218240864,0.148,0.091,1,"Plagl2","Choroid plexus"
0.443741340854213,0.831046073851098,0.148,0.091,1,"Szt2","Choroid plexus"
0.443741340854213,0.897230449799486,0.148,0.091,1,"Bckdha","Choroid plexus"
0.443741340854213,1.16687539383312,0.148,0.091,1,"Rnf170","Choroid plexus"
0.443741340854213,0.830920784957622,0.148,0.091,1,"Mrpl3","Choroid plexus"
0.443741340854213,0.751914535550781,0.148,0.091,1,"Rbm4","Choroid plexus"
0.446196704922078,-0.609634627064858,0.111,0.182,1,"D3Ertd751e","Choroid plexus"
0.446196704922078,-0.602265752783651,0.111,0.182,1,"Elmod2","Choroid plexus"
0.446196704922078,-0.494991566017933,0.111,0.182,1,"Rundc1","Choroid plexus"
0.446196704922078,-0.631853218550223,0.111,0.182,1,"Zfhx2","Choroid plexus"
0.446438754243357,-0.539720531341252,0.333,0.386,1,"Brd8","Choroid plexus"
0.44686373281019,-0.62133662959704,0.778,0.682,1,"Cspp1","Choroid plexus"
0.447251305241221,-0.585046282526814,0.222,0.295,1,"Ip6k2","Choroid plexus"
0.447251305241221,1.02127913675156,0.296,0.25,1,"Comt","Choroid plexus"
0.447367066352819,0.467850147782513,0.444,0.341,1,"Zc3h14","Choroid plexus"
0.447596162353509,0.318646459694675,0.519,0.432,1,"9930021J03Rik","Choroid plexus"
0.447899114894135,-0.785298290321356,0.259,0.341,1,"Chpt1","Choroid plexus"
0.447899114894135,-0.54350511896866,0.259,0.341,1,"Appbp2","Choroid plexus"
0.448007926599543,1.91059429155929,0.444,0.364,1,"Dpp10","Choroid plexus"
0.44803274164126,-0.842152018866753,0.148,0.227,1,"Rnf6","Choroid plexus"
0.44803274164126,-0.724516727887972,0.148,0.227,1,"Capn7","Choroid plexus"
0.448724898998578,0.347357576173295,0.704,0.5,1,"Ophn1","Choroid plexus"
0.449575498258576,1.16922151245712,0.333,0.273,1,"Grm5","Choroid plexus"
0.449834936696602,-0.592896943533163,0.481,0.5,1,"Slc25a36","Choroid plexus"
0.450172233655513,1.07913740454508,0.222,0.159,1,"Plekhg5","Choroid plexus"
0.450172233655513,2.02818083385167,0.222,0.159,1,"Ankrd26","Choroid plexus"
0.450172233655513,1.02998810739071,0.222,0.159,1,"Cbfb","Choroid plexus"
0.450172233655513,0.477034251990117,0.222,0.159,1,"Kpnb1","Choroid plexus"
0.450172233655513,0.710375642237909,0.222,0.159,1,"Il6st","Choroid plexus"
0.450172233655513,1.08656715934927,0.222,0.159,1,"Morf4l2","Choroid plexus"
0.450172233655513,-0.994478701258276,0.148,0.205,1,"Kdm4a","Choroid plexus"
0.450893141303176,-0.657270007457003,0.222,0.318,1,"Kcnq3","Choroid plexus"
0.450904491066071,0.923124388496963,0.185,0.114,1,"Mthfr","Choroid plexus"
0.450904491066071,1.0372217946884,0.185,0.114,1,"Ncald","Choroid plexus"
0.451411836295733,-0.256143347908212,0.593,0.659,1,"Baz2b","Choroid plexus"
0.451542110626573,-0.771257970734707,0.185,0.25,1,"Ercc6","Choroid plexus"
0.452202033382269,-0.504686942521981,0.185,0.273,1,"Wbp1l","Choroid plexus"
0.454450021469505,-0.871603408809843,0.259,0.364,1,"Hook1","Choroid plexus"
0.455520172847095,0.436133308142515,0.444,0.341,1,"Zfp644","Choroid plexus"
0.456551700030401,0.512185662484351,0.852,0.727,1,"Stxbp4","Choroid plexus"
0.456685134669962,-0.379085397673463,0.074,0.136,1,"Fign","Choroid plexus"
0.456685134669962,-0.742097348790342,0.074,0.136,1,"Dancr","Choroid plexus"
0.456685134669962,-0.779865042337349,0.074,0.136,1,"Eif2ak3","Choroid plexus"
0.456685134669962,-0.891628375608811,0.074,0.136,1,"Prdm10","Choroid plexus"
0.456685134669962,-0.458885758923033,0.074,0.136,1,"Hpcal1","Choroid plexus"
0.456685134669962,-0.593600528479193,0.074,0.136,1,"Arf3","Choroid plexus"
0.456685134669962,0.911046045549257,0.148,0.091,1,"Atp2b4","Choroid plexus"
0.456685134669962,0.654418800840654,0.148,0.091,1,"Abcb8","Choroid plexus"
0.456685134669962,0.972809966521119,0.148,0.091,1,"Suds3","Choroid plexus"
0.456685134669962,0.825651823998623,0.148,0.091,1,"4930581F22Rik","Choroid plexus"
0.456685134669962,0.476945643457773,0.148,0.091,1,"Ccdc12","Choroid plexus"
0.456685134669962,0.341589796782359,0.148,0.091,1,"Fbxl2","Choroid plexus"
0.456685134669962,1.04594555970031,0.148,0.091,1,"Kif1c","Choroid plexus"
0.456685134669962,0.700785095791689,0.148,0.091,1,"Kif3c","Choroid plexus"
0.45750479758651,-0.614886964101373,0.111,0.182,1,"Tanc1","Choroid plexus"
0.45750479758651,0.260041344813856,0.111,0.182,1,"Smap2","Choroid plexus"
0.45750479758651,-0.396764749893031,0.111,0.182,1,"Nr2f2","Choroid plexus"
0.45750479758651,-0.599221740874628,0.111,0.182,1,"Msl1","Choroid plexus"
0.45750479758651,-0.665896968377055,0.111,0.182,1,"Mtx3","Choroid plexus"
0.45750479758651,-0.365871618849339,0.111,0.182,1,"Napg","Choroid plexus"
0.457903919997371,-0.442858614028753,0.593,0.591,1,"Celf1","Choroid plexus"
0.45922647332899,-0.360036829605351,0.407,0.5,1,"Cdk12","Choroid plexus"
0.459908445713972,-0.746980057151462,0.222,0.318,1,"Cept1","Choroid plexus"
0.46021004900659,0.390355748192623,0.259,0.182,1,"Tgfbrap1","Choroid plexus"
0.46021004900659,1.55208091220265,0.259,0.182,1,"Gm36975","Choroid plexus"
0.46021004900659,0.367645834395342,0.259,0.182,1,"Ddx24","Choroid plexus"
0.46021004900659,0.400028501111161,0.259,0.182,1,"Slc22a8","Choroid plexus"
0.460777734463782,0.751389005254662,0.222,0.159,1,"Tomm20","Choroid plexus"
0.460777734463782,0.952632018394272,0.222,0.159,1,"Rapgef5","Choroid plexus"
0.460777734463782,-1.13397499054086,0.148,0.205,1,"Ik","Choroid plexus"
0.461044112949715,-0.331152446130676,0.593,0.636,1,"Klhl32","Choroid plexus"
0.461641351811706,-0.683861255520366,0.222,0.273,1,"Gnai1","Choroid plexus"
0.461777754665511,0.586847725873747,0.185,0.273,1,"Clk2","Choroid plexus"
0.461777754665511,-0.637907694638662,0.185,0.273,1,"Mmaa","Choroid plexus"
0.462750115470192,0.518626542876967,0.185,0.114,1,"Rab30","Choroid plexus"
0.462750115470192,0.344957438014785,0.185,0.114,1,"Fem1b","Choroid plexus"
0.462750115470192,0.545355006204282,0.185,0.114,1,"Ipo5","Choroid plexus"
0.462750115470192,-1.65466065189726,0.111,0.159,1,"1700012D14Rik","Choroid plexus"
0.462992035886164,0.327853465259169,0.444,0.318,1,"Tbc1d32","Choroid plexus"
0.462992035886164,-0.558169885097246,0.333,0.386,1,"Pkig","Choroid plexus"
0.463089619085883,-0.405835240377554,0.259,0.364,1,"Tbc1d2","Choroid plexus"
0.463716314310764,0.339459384164207,0.667,0.636,1,"Mllt10","Choroid plexus"
0.464238069551669,0.332808943355489,0.741,0.818,1,"Dnah7b","Choroid plexus"
0.464466244027783,0.661316423241868,0.444,0.386,1,"G630093K05Rik","Choroid plexus"
0.464884104211363,0.272632474418622,0.778,0.591,1,"Pcm1","Choroid plexus"
0.464887997262365,-0.430936169979914,0.63,0.682,1,"Map3k5","Choroid plexus"
0.465631501674825,-0.612100633028124,0.222,0.295,1,"Gfpt1","Choroid plexus"
0.465631501674825,-0.560441534684102,0.222,0.295,1,"Rnf180","Choroid plexus"
0.465631501674825,0.911875539042232,0.296,0.25,1,"Mgat4b","Choroid plexus"
0.466216018897709,0.394404417242105,0.926,0.909,1,"Pdzd2","Choroid plexus"
0.467373647593153,-0.617471087269286,0.259,0.318,1,"Tmem29","Choroid plexus"
0.467443517842309,0.440976669549233,0.37,0.295,1,"Ahctf1","Choroid plexus"
0.467905186116908,-0.496759398035961,0.333,0.409,1,"Zc3h12b","Choroid plexus"
0.468689735501687,-0.559166721550456,0.148,0.227,1,"Zfp934","Choroid plexus"
0.468697459718879,-0.572503243358908,0.148,0.227,1,"Sec23b","Choroid plexus"
0.468697459718879,-0.423762554231343,0.148,0.227,1,"Arf1","Choroid plexus"
0.468887954801351,1.8653465218739,0.111,0.068,1,"Etfdh","Choroid plexus"
0.468887954801351,1.35570352235798,0.111,0.068,1,"Gatb","Choroid plexus"
0.468887954801351,1.33042837912375,0.111,0.068,1,"Smarcd3","Choroid plexus"
0.468887954801351,1.31873658428364,0.111,0.068,1,"Gm16638","Choroid plexus"
0.468887954801351,0.927299678920273,0.111,0.068,1,"Dhcr7","Choroid plexus"
0.468887954801351,1.14544258365992,0.111,0.068,1,"C2cd2l","Choroid plexus"
0.468887954801351,0.932886713940404,0.111,0.068,1,"Heca","Choroid plexus"
0.468887954801351,1.10246550510444,0.111,0.068,1,"Polr2e","Choroid plexus"
0.468887954801351,1.32739791158951,0.111,0.068,1,"Axin2","Choroid plexus"
0.468887954801351,1.32963059981397,0.111,0.068,1,"Rpl30","Choroid plexus"
0.468887954801351,1.28494271689193,0.111,0.068,1,"Tfrc","Choroid plexus"
0.468887954801351,2.61839338859358,0.111,0.068,1,"Stxbp5l","Choroid plexus"
0.468887954801351,1.47255152874198,0.111,0.068,1,"Scyl1","Choroid plexus"
0.46897201964706,-0.662745940149215,0.111,0.182,1,"Ankrd10","Choroid plexus"
0.46897201964706,-0.461519412466527,0.111,0.182,1,"Azin1","Choroid plexus"
0.46897201964706,1.2665224351775,0.185,0.136,1,"Tmco4","Choroid plexus"
0.469017841396202,-0.383960085959862,0.222,0.318,1,"Morc3","Choroid plexus"
0.469023761886361,0.426686865226402,0.333,0.25,1,"Tpst1","Choroid plexus"
0.469274537070828,-0.422258255741976,0.519,0.591,1,"Tnrc6c","Choroid plexus"
0.46934452570745,0.439779187380921,0.704,0.75,1,"Psap","Choroid plexus"
0.469348323598465,-0.290278949427179,0.741,0.727,1,"Nfat5","Choroid plexus"
0.469838451743323,-0.529997948968598,0.074,0.136,1,"Vcpip1","Choroid plexus"
0.469838451743323,-0.497734925802986,0.074,0.136,1,"Il15ra","Choroid plexus"
0.469838451743323,-0.350204398418154,0.074,0.136,1,"Zmat3","Choroid plexus"
0.469838451743323,-0.693711991059782,0.074,0.136,1,"Klhdc7a","Choroid plexus"
0.469838451743323,0.297630147971683,0.074,0.136,1,"Gapdh","Choroid plexus"
0.469838451743323,-0.608344566206935,0.074,0.136,1,"Rhot2","Choroid plexus"
0.469838451743323,-0.623174491161804,0.074,0.136,1,"Ndufv3","Choroid plexus"
0.469838451743323,-0.450153891070122,0.074,0.136,1,"Hells","Choroid plexus"
0.469838451743323,1.0060738937136,0.148,0.091,1,"Nup188","Choroid plexus"
0.469838451743323,0.835056575078418,0.148,0.091,1,"Ttc21b","Choroid plexus"
0.469838451743323,1.04221906103457,0.148,0.091,1,"D430041D05Rik","Choroid plexus"
0.469838451743323,0.578324091704266,0.148,0.091,1,"Mmp16","Choroid plexus"
0.469838451743323,0.855828618109524,0.148,0.091,1,"0610043K17Rik","Choroid plexus"
0.469838451743323,0.732291083868327,0.148,0.091,1,"Gpat3","Choroid plexus"
0.469838451743323,0.946192170021575,0.148,0.091,1,"Ttyh1","Choroid plexus"
0.469838451743323,0.604834818858862,0.148,0.091,1,"Selenos","Choroid plexus"
0.469838451743323,0.765195707129212,0.148,0.091,1,"Got2","Choroid plexus"
0.469838451743323,0.602547610438423,0.148,0.091,1,"Tmem94","Choroid plexus"
0.469838451743323,0.936096165685682,0.148,0.091,1,"Gpr180","Choroid plexus"
0.470621711269614,-0.25368540525853,0.667,0.705,1,"Antxr1","Choroid plexus"
0.471125502590465,0.261670382578374,0.296,0.227,1,"Sf3b2","Choroid plexus"
0.471238074278486,-0.726191673156626,0.185,0.25,1,"Naa35","Choroid plexus"
0.471238074278486,-0.563504824953061,0.185,0.25,1,"Usp14","Choroid plexus"
0.471465653344305,-0.459844302219353,0.185,0.273,1,"Nceh1","Choroid plexus"
0.471521492872462,0.520489506241134,0.222,0.159,1,"Cpsf3","Choroid plexus"
0.471521492872462,-0.95791476458267,0.148,0.205,1,"Nmd3","Choroid plexus"
