"gene","celltype","n_S1","n_S2","mean_S1","mean_S2","sd_S1","sd_S2","sem_S1","sem_S2","delta","W_stat","p_value","p_adj","sig"
"Aqp4","Astrocytes",282,305,0.513220516460234,0.474596686959803,0.802128094460044,0.835526910004033,0.0477660329149594,0.0478421316942722,-0.0386238295004316,41736,0.43667910345533,0.64748970512342,"ns"
"Syn1","Astrocytes",282,305,0.0812923440944053,0.0475349870677396,0.364696161763193,0.302549133634461,0.0217173403937016,0.0173239129967196,-0.0337573570266657,42015.5,0.143176768686551,0.439757218108693,"ns"
"P2ry12","Astrocytes",282,305,0.0387740404969129,0.0684258291708576,0.249696433279593,0.363929536641468,0.0148692062192507,0.0208385446488523,0.0296517886739447,43505,0.415265820258579,0.64748970512342,"ns"
"App","Astrocytes",282,305,0.781409337438595,0.757679564393882,1.05639097270098,1.02627240536473,0.0629071669744568,0.0587641869864129,-0.0237297730447137,42781.5,0.901681298424855,0.955738539298349,"ns"
"Syp","Astrocytes",282,305,0.0695868446372221,0.0481772134086299,0.338211214134743,0.263800732546919,0.0201401847138184,0.0151051860047144,-0.0214096312285923,42564,0.514341419002339,0.73722270057002,"ns"
"Ifit3","Astrocytes",282,305,0.0207504996636138,0.0402608518380914,0.174356675071225,0.264595679147473,0.0103827889060553,0.015150704514649,0.0195103521744777,43390,0.425228171550836,0.64748970512342,"ns"
"Rbfox3","Astrocytes",282,305,0.0424264277494469,0.0609319077821458,0.271722857294568,0.320683886405387,0.0161808606816298,0.0183623059197022,0.0185054800326988,43487,0.432274885469018,0.64748970512342,"ns"
"Camk2a","Astrocytes",282,305,0.120788884521546,0.134923664018213,0.446313647653402,0.471652632273728,0.026577590950182,0.0270067511614688,0.0141347794966673,43267.5,0.782044421769171,0.889172178898427,"ns"
"Ptprc","Astrocytes",282,305,0.00662308431160676,0.0188693127396397,0.111220498628714,0.193802996889703,0.00662308431160678,0.011097127320408,0.0122462284280329,43275,0.356899819546003,0.616941520764897,"ns"
"Fos","Astrocytes",282,305,0.0155487689448502,0.0260203029817108,0.150818758903683,0.202951197925869,0.00898112639582345,0.0116209517879357,0.0104715340368606,43253,0.54829388679302,0.760536681680641,"ns"
"Vim","Astrocytes",282,305,0.0394182965463154,0.0298534365266695,0.271261600580669,0.239264122058255,0.016153393244034,0.0137002237751627,-0.0095648600196459,42792,0.659439790851156,0.833997382547051,"ns"
"Tubb3","Astrocytes",282,305,0.0404836429052992,0.048780567968981,0.259819002166896,0.29025173223963,0.0154719964244489,0.0166197658412127,0.00829692506368181,43207,0.727860023550794,0.869388361463449,"ns"
"Tgfb1","Astrocytes",282,305,0.00662308431160676,0.0139681781378346,0.111220498628714,0.144892596659269,0.00662308431160678,0.00829652595015087,0.00734509382622783,43274,0.358686930677266,0.616941520764897,"ns"
"Itgam","Astrocytes",282,305,0,0.00709533814292662,0,0.0884480565637047,0,0.00506452098616761,0.00709533814292662,43287,0.174275799688218,0.499590625772893,"ns"
"C3","Astrocytes",282,305,0.00659533434434379,0,0.110754497434903,0,0.00659533434434381,0,-0.00659533434434379,42852.5,0.2999357728445,0.586238101468796,"ns"
"Tyrobp","Astrocytes",282,305,0.00653277502706691,0,0.109703947851953,0,0.00653277502706693,0,-0.00653277502706691,42852.5,0.2999357728445,0.586238101468796,"ns"
"Jun","Astrocytes",282,305,0.0340918172691553,0.028991924636623,0.215431329189228,0.205470582562603,0.0128287489642076,0.0117652113325847,-0.0050998926325323,42791.5,0.68399021972013,0.840330841370445,"ns"
"Aif1","Astrocytes",282,305,0.00499918749722664,0,0.0839506338769662,0,0.00499918749722663,0,-0.00499918749722664,42852.5,0.2999357728445,0.586238101468796,"ns"
"Casp3","Astrocytes",282,305,0.0578143358463968,0.0625189663222804,0.317536481821526,0.320622053988006,0.0189090223209268,0.0183587654057824,0.00470463047588358,43171,0.806458487838108,0.889172178898427,"ns"
"Cx3cr1","Astrocytes",282,305,0.0254570872966237,0.029786481439223,0.215408382274453,0.215276491638585,0.0128273824953182,0.0123266960529187,0.00432939414259937,43236,0.616429191849211,0.803225916652002,"ns"
"Ccl5","Astrocytes",282,305,0.00427504188817416,0,0.0717901612135783,0,0.00427504188817418,0,-0.00427504188817416,42852.5,0.2999357728445,0.586238101468796,"ns"
"Cd68","Astrocytes",282,305,0,0.0040760754253777,0,0.0711855969728231,0,0.00407607542537769,0.0040760754253777,43146,0.337988969860969,0.616941520764897,"ns"
"Sox9","Astrocytes",282,305,0.244087121418389,0.240275451991679,0.594975640346147,0.612204062871005,0.0354302837871598,0.035054702666012,-0.00381166942670988,42663,0.786800929338604,0.889172178898427,"ns"
"Mrc1","Astrocytes",282,305,0.00993563562611518,0.00653246353231684,0.166847694599506,0.114084570995906,0.00993563562611519,0.00653246353231682,-0.00340317209379834,42993,0.955738539298349,0.955738539298349,"ns"
"Trem2","Astrocytes",282,305,0.00662308431160678,0.00392759682331881,0.111220498628715,0.068592529666108,0.0066230843116068,0.0039275968233188,-0.00269548748828797,42993,0.955738539298349,0.955738539298349,"ns"
"Tmem119","Astrocytes",282,305,0.009576649725584,0.0070077325353021,0.160819296200926,0.0872244641482142,0.00957664972558406,0.00499445828826871,-0.0025689171902819,43133.5,0.61367791302929,0.803225916652002,"ns"
"Isg15","Astrocytes",282,305,0.00659533434434379,0.00460996596256201,0.110754497434903,0.0805095943579024,0.00659533434434381,0.00460996596256202,-0.00198536838178177,42993,0.955738539298349,0.955738539298349,"ns"
"Ccl3","Astrocytes",282,305,0,0,0,0,0,0,0,43005,NA,NA,""
"Ccl4","Astrocytes",282,305,0,0,0,0,0,0,0,43005,NA,NA,""
"Casp1","Astrocytes",282,305,0,0,0,0,0,0,0,43005,NA,NA,""
"Ptgs2","Astrocytes",282,305,0,0,0,0,0,0,0,43005,NA,NA,""
"Arg1","Astrocytes",282,305,0,0,0,0,0,0,0,43005,NA,NA,""
"Atf3","Astrocytes",282,305,0,0,0,0,0,0,0,43005,NA,NA,""
