"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Ncaph22",0.000114114262849304,0.513370217138102,0.041,0.144,1,"10","Ncaph2"
"Trpv23",0.00011468676563005,0.156388341223253,0.02,0.109,1,"10","Trpv2"
"Gm10837",0.000114760617123889,4.41163008364951,0.015,0.002,1,"10","Gm10837"
"Scarf2",0.000114760617123889,4.62173677215142,0.015,0.002,1,"10","Scarf2"
"Gm50210",0.000114760617123889,5.21373574080484,0.015,0.002,1,"10","Gm50210"
"Cracr2b",0.000115091360261498,3.68237413312558,0.015,0.002,1,"10","Cracr2b"
"Rsad2",0.000115091360261498,4.54232733384101,0.015,0.002,1,"10","Rsad2"
"Samd42",0.000115465606195508,0.2942149728467,0.193,0.394,1,"10","Samd4"
"Eef22",0.000115519883500008,0.587822831589722,0.036,0.135,1,"10","Eef2"
"Gm43568",0.000115755545399967,3.70757564676297,0.015,0.002,1,"10","Gm43568"
"Ephx11",0.000115973229255796,3.48479168551183,0.096,0.042,1,"10","Ephx1"
"Patl13",0.000116683691428366,0.63314869909016,0.046,0.153,1,"10","Patl1"
"Psmd32",0.00011677852421966,0.294673566787002,0.046,0.152,1,"10","Psmd3"
"Adcy51",0.000117371763635824,0.165641672041031,0.178,0.354,1,"10","Adcy5"
"Tnrc6c4",0.00011745145773174,0.18749957300819,0.416,0.816,1,"10","Tnrc6c"
"Acly1",0.000117819442811903,0.235517950199715,0.041,0.143,1,"10","Acly"
"Dysf1",0.000118943835949351,3.85649137518358,0.112,0.053,1,"10","Dysf"
"Cnot3",0.000119111385320815,0.478130959736583,0.061,0.177,1,"10","Cnot3"
"Gstt11",0.000119986844107803,3.47084542486874,0.071,0.026,1,"10","Gstt1"
"Rpl63",0.000121609153504514,0.862191368066431,0.086,0.22,1,"10","Rpl6"
"Ccnl22",0.000121709832002928,0.775993108285418,0.203,0.424,1,"10","Ccnl2"
"Tapt12",0.000123135249779398,0.918460489971765,0.117,0.272,1,"10","Tapt1"
"Alcam1",0.000123343019533415,1.80335919618731,0.33,0.638,1,"10","Alcam"
"Slc25a403",0.000123813968664098,0.263601352605847,0.051,0.159,1,"10","Slc25a40"
"Sept71",0.000124395011613285,0.232558915244292,0.345,0.679,1,"10","Sept7"
"Enpp53",0.000124547449682463,0.792965928519174,0.061,0.178,1,"10","Enpp5"
"Dvl12",0.000125774980195903,0.233006503837243,0.046,0.152,1,"10","Dvl1"
"Arl2bp1",0.000126234759580263,0.638053690282866,0.051,0.16,1,"10","Arl2bp"
"Mthfr1",0.000126392340549261,0.385537256622425,0.041,0.143,1,"10","Mthfr"
"Jade12",0.000126561131451847,0.400989897553353,0.046,0.151,1,"10","Jade1"
"Lrp13",0.000126625080897373,0.565337901410098,0.198,0.409,1,"10","Lrp1"
"Lmf11",0.000127699379247555,0.269553831956089,0.041,0.142,1,"10","Lmf1"
"Nek72",0.00012790066992377,1.92968259444107,0.269,0.192,1,"10","Nek7"
"Cherp3",0.000128196378931236,0.400692283554579,0.051,0.16,1,"10","Cherp"
"Uty3",0.00012843460456725,0.447797943387211,0.31,0.626,1,"10","Uty"
"Aasdhppt1",0.000130601557166028,0.115250878054061,0.015,0.099,1,"10","Aasdhppt"
"Emc72",0.000130630912703544,0.718436952632201,0.041,0.143,1,"10","Emc7"
"Gm414143",0.000131421822487371,0.198510238756182,0.015,0.098,1,"10","Gm41414"
"Rsrc22",0.000133770305916023,0.982251033439844,0.228,0.469,1,"10","Rsrc2"
"Srsf102",0.000135173099858662,0.825108428808553,0.173,0.366,1,"10","Srsf10"
"Paip2b4",0.000135405804669419,0.496924323707092,0.041,0.142,1,"10","Paip2b"
"Ostf1",0.000135823591364465,2.42487220067855,0.117,0.056,1,"10","Ostf1"
"Wdr821",0.000136250391229786,0.741535934221571,0.071,0.194,1,"10","Wdr82"
"Gm5089.11",0.000136581756084917,2.62646848346766,0.046,0.013,1,"10","Gm5089.1"
"Atg2a3",0.00013797037579504,0.455204612307964,0.041,0.142,1,"10","Atg2a"
"Zxdc2",0.000139327974634054,0.761261421030592,0.071,0.193,1,"10","Zxdc"
"Lypla11",0.000139468740935992,0.784228126945485,0.061,0.175,1,"10","Lypla1"
"Sqstm14",0.000140089280046385,0.629908448185241,0.112,0.26,1,"10","Sqstm1"
"Gabarapl12",0.000140345051605125,0.364326065767713,0.036,0.133,1,"10","Gabarapl1"
"Hjurp4",0.000140603853837757,0.669136978626506,0.081,0.208,1,"10","Hjurp"
"Phf201",0.000140830439290971,0.87568464362042,0.203,0.419,1,"10","Phf20"
"Ikbke1",0.000141096614903048,3.55731275544056,0.036,0.009,1,"10","Ikbke"
"Prep2",0.000141511802989292,0.989102827099671,0.051,0.159,1,"10","Prep"
"Rbm173",0.000142616439788572,0.14194298330896,0.025,0.115,1,"10","Rbm17"
"Vac143",0.000142655316609727,0.208690724175555,0.056,0.167,1,"10","Vac14"
"Sos13",0.000143093717169235,0.972454810956358,0.249,0.514,1,"10","Sos1"
"Tcea1",0.000143155552886636,0.965763621972918,0.147,0.324,1,"10","Tcea1"
"Gnptg2",0.000143848642418585,0.330184919607607,0.036,0.133,1,"10","Gnptg"
"Mrtfb6",0.000144655876143369,0.558741642289707,0.376,0.744,1,"10","Mrtfb"
"Caprin22",0.000144891793363008,0.411227415901404,0.046,0.15,1,"10","Caprin2"
"Zbtb443",0.000145474824487765,0.837794070038065,0.102,0.243,1,"10","Zbtb44"
"Ift523",0.000146304238362546,0.116752551111334,0.046,0.15,1,"10","Ift52"
"Shoc24",0.000147265887518995,0.839831871847937,0.142,0.313,1,"10","Shoc2"
"Gm12474",0.000147741064937319,5.87280839943405,0.01,0.001,1,"10","Gm12474"
"Gm28874",0.000147741064937319,6.13797756017683,0.01,0.001,1,"10","Gm28874"
"Gm21847",0.000147741064937319,5.8459261969231,0.01,0.001,1,"10","Gm21847"
"Slc22a18",0.000147741064937319,5.68219255164372,0.01,0.001,1,"10","Slc22a18"
"Fat2",0.000147741064937319,5.05148037005046,0.01,0.001,1,"10","Fat2"
"Mfap4",0.000147741064937319,5.75148669930838,0.01,0.001,1,"10","Mfap4"
"Card14",0.000147741064937319,5.60529791659229,0.01,0.001,1,"10","Card14"
"Serpina1b",0.000147741064937319,5.61683027414074,0.01,0.001,1,"10","Serpina1b"
"Anxa1",0.000147741064937319,5.61488437517464,0.01,0.001,1,"10","Anxa1"
"Sinhcaf3",0.000148109909007826,0.888217625254568,0.051,0.159,1,"10","Sinhcaf"
"Gm15987",0.00014833449378822,5.70275273119153,0.01,0.001,1,"10","Gm15987"
"Itpripl1",0.000148930166345281,3.89466638225817,0.01,0.001,1,"10","Itpripl1"
"Vamp8",0.000148930166345281,4.04947116633032,0.01,0.001,1,"10","Vamp8"
"Gm27201",0.000148930166345281,4.23546993314263,0.01,0.001,1,"10","Gm27201"
"Slc2a41",0.000148930166345281,4.11759365021372,0.01,0.001,1,"10","Slc2a4"
"Man2b11",0.000148937964237293,0.116033917179326,0.046,0.149,1,"10","Man2b1"
"Tmem682",0.000149414524117219,1.01573290474523,0.061,0.176,1,"10","Tmem68"
"Ptpn111",0.000149555976495911,0.697424561099807,0.147,0.32,1,"10","Ptpn11"
"Ahcyl12",0.000150128739120286,0.417695965274265,0.274,0.553,1,"10","Ahcyl1"
"Poldip34",0.000150373729998596,0.319469355476923,0.061,0.175,1,"10","Poldip3"
"Zdhhc52",0.000150629307330571,0.194005258360845,0.025,0.115,1,"10","Zdhhc5"
"Efcab23",0.000150657061690529,0.505216746032102,0.041,0.141,1,"10","Efcab2"
