"","myAUC","avg_diff","power","avg_log2FC","pct.1","pct.2"
"Hap1",0.63,0.36739320649445,0.26,1.85676913710735,0.375,0.135
"Arhgap44",0.63,0.248115940043136,0.26,0.571278294992597,0.754,0.534
"Tmem178b",0.63,0.19515960076208,0.26,0.312186513293168,0.987,0.822
"Gm1043",0.63,0.263801103418223,0.26,0.767167671800276,0.632,0.407
"Enah",0.63,0.198250861001877,0.26,0.379826698456043,0.873,0.68
"Gprasp1",0.629,0.235956214555347,0.258,0.513630098496262,0.815,0.62
"Eml6",0.629,0.265013101202002,0.258,0.465868203775087,0.935,0.77
"Srgap1",0.629,0.198167036903157,0.258,0.430349559543582,0.654,0.38
"Pcdh19",0.628,0.41167882080652,0.256,1.36136223382641,0.44,0.202
"Nek1",0.628,0.19146540228204,0.256,0.460805592545178,0.746,0.533
"Kcnq1ot1",0.628,0.241393462996933,0.256,0.414489225823008,0.953,0.797
"Astn2",0.628,0.288077683439081,0.256,0.478883501346161,0.853,0.633
"Smyd3",0.628,0.205426648395621,0.256,0.359901695584299,0.942,0.764
"Nyap2",0.628,0.244522803109448,0.256,0.468357821063912,0.848,0.587
"Gnal",0.627,0.18070933833166,0.254,0.438471572032889,0.654,0.397
"Gm26917",0.627,0.202175019333986,0.254,0.341043934845358,0.96,0.865
"Rtn1",0.627,0.232804480385252,0.254,0.425907191836451,0.951,0.728
"Ube3a",0.627,0.247520529175295,0.254,0.495803818323254,0.875,0.69
"Chrm2",0.627,0.73330330531305,0.254,1.9822879911022,0.415,0.181
"A530058N18Rik",0.627,0.333851834556306,0.254,2.2879529281728,0.317,0.064
"Slc9a7",0.626,0.248033682696813,0.252,0.688836445014261,0.629,0.426
"Lrfn5",0.626,0.255784932683023,0.252,0.403497730348704,0.962,0.742
"Klhl1",0.625,0.676013665234163,0.25,2.40906486468003,0.364,0.132
"Grik2",0.625,0.346377311303722,0.25,0.53086901911435,0.971,0.882
"Cdh13",0.625,0.496936740291391,0.25,0.897950429378525,0.638,0.43
"Epha10",0.625,0.307228016167963,0.25,1.07369563504697,0.496,0.27
"Slc7a14",0.625,0.293727299319222,0.25,0.741295848800863,0.643,0.421
"Nf1",0.624,0.169726536371305,0.248,0.314796561350311,0.924,0.774
"Kmt2a",0.624,0.193503296470824,0.248,0.386241165257923,0.882,0.706
"N4bp2",0.624,0.299439975124647,0.248,1.41253275013361,0.366,0.122
"Dock7",0.624,0.224387857818104,0.248,0.466929302097202,0.815,0.622
"Epb41l1",0.624,0.230955665543993,0.248,0.563382155938954,0.719,0.511
"Hacd1",0.624,0.299307957450693,0.248,1.01214755836955,0.504,0.291
"1700025G04Rik",0.624,0.230067252229255,0.248,0.506561493650614,0.75,0.559
"Dpysl3",0.623,0.284316516492307,0.246,1.17612057506957,0.415,0.184
"Rbfox2",0.623,0.231056868659061,0.246,0.404856665855199,0.964,0.79
"Scg5",0.623,0.240507147865137,0.246,0.614763254636124,0.688,0.494
"Greb1l",0.622,0.323247865262873,0.244,0.976897961386664,0.516,0.293
"Unc79",0.622,0.252483592462685,0.244,0.452420684424518,0.944,0.72
"Ankrd24",0.622,0.298398414352104,0.244,1.42130466203974,0.397,0.168
"Lrp8",0.622,0.242500713231409,0.244,0.909522448826456,0.48,0.259
"Cntnap5b",0.622,0.556565473049826,0.244,1.04240331875768,0.638,0.466
"Erbb4",0.622,0.237632746344007,0.244,0.363958435416099,0.694,0.499
"Lonrf2",0.622,0.26341096140585,0.244,0.863676882242815,0.549,0.36
"Fhl1",0.621,0.226578133067529,0.242,0.905454615242684,0.44,0.213
"Slc38a1",0.621,0.245867718853814,0.242,0.745451752888553,0.551,0.351
"Spock2",0.621,0.16238161488529,0.242,0.466523903002907,0.587,0.389
"Samd5",0.621,0.342385829843513,0.242,0.773736002283413,0.612,0.392
"Cmip",0.621,0.191787599985445,0.242,0.398100318041535,0.83,0.653
"Gabra2",0.621,0.304596362836378,0.242,0.552667131432475,0.837,0.627
"Focad",0.621,0.284345225682882,0.242,0.542791604608463,0.864,0.676
"Epb41l4b",0.621,0.281894095122184,0.242,0.709957246491091,0.632,0.419
"Csrnp3",0.621,0.24482091787213,0.242,0.453864180994394,0.879,0.695
"Dennd1b",0.621,0.191909808329456,0.242,0.433783121625893,0.748,0.553
"Grik1",0.62,0.385663201048475,0.24,0.728367737285965,0.502,0.261
"Elavl3",0.62,0.19432519586954,0.24,0.426491569898441,0.783,0.597
"Rerg",0.62,0.367025252490273,0.24,1.59731920451786,0.353,0.113
"Grm8",0.62,0.471758017342576,0.24,0.801728488102926,0.685,0.48
"Zfp462",0.62,0.170232985528192,0.24,0.3700330328096,0.725,0.492
"Sclt1",0.62,0.206284938019701,0.24,0.44122012977236,0.79,0.614
"Macrod2",0.62,0.240142531438672,0.24,0.365206214919382,0.998,0.865
"Brinp3",0.62,0.21699017183271,0.24,0.361960495834626,0.799,0.582
"Usp9x",0.619,0.186074103208443,0.238,0.385411958682646,0.833,0.661
"Stk38",0.619,0.171875523597372,0.238,0.46803912715609,0.643,0.437
"Glra3",0.619,0.467766336833269,0.238,2.61762821745486,0.308,0.079
"Ankrd17",0.619,0.201662170253213,0.238,0.366741057082874,0.938,0.792
"Hspa4l",0.619,0.247416827664778,0.238,0.726212839003093,0.58,0.38
"Ralgapa2",0.619,0.242877662394991,0.238,0.454447412235718,0.844,0.709
"Casc4",0.619,0.208226399844693,0.238,0.467652018154054,0.783,0.589
"Nrp2",0.619,0.398451261021732,0.238,1.21244009302004,0.444,0.23
"Map7d2",0.618,0.268950817760101,0.236,0.708708036908315,0.643,0.469
"Evl",0.618,0.207949476268864,0.236,0.530963030554133,0.67,0.483
"Vezt",0.618,0.19110827871963,0.236,0.437169499267811,0.775,0.58
"Wwox",0.618,0.172952653164391,0.236,0.301859761697279,0.866,0.699
"Gm17276",0.617,0.256216045371137,0.234,1.28137652566316,0.388,0.166
"Dip2c",0.617,0.209244813451059,0.234,0.344921095817181,0.982,0.841
"Helz",0.617,0.193914741409066,0.234,0.437207336519267,0.775,0.585
"Cers4",0.617,0.239365167286092,0.234,0.780602155122893,0.542,0.346
"Syt9",0.617,0.679779743191538,0.234,2.52315943447366,0.353,0.131
"Copg2",0.617,0.215607874859938,0.234,0.536569345842507,0.69,0.499
"Mtus2",0.617,0.285387855497088,0.234,0.56084393337639,0.81,0.63
"Gabrg1",0.617,0.353934243749261,0.234,1.87796198587681,0.308,0.076
"Frmpd3",0.616,0.278875581044913,0.232,1.13025882998047,0.422,0.201
"9630014M24Rik",0.616,0.360575717759143,0.232,1.16042297406197,0.433,0.214
"Atxn10",0.616,0.20397814153467,0.232,0.461351738438977,0.775,0.588
"Adarb2",0.616,0.286056806393906,0.232,0.450425409471042,0.565,0.368
"Gm26871",0.616,0.366276913894193,0.232,0.600092604285143,0.85,0.681
"Gkap1",0.615,0.164603790346652,0.23,0.599260664946138,0.451,0.224
"Gm45847",0.615,0.256774856342246,0.23,1.40298334779932,0.353,0.129
"Chd5",0.615,0.241144934333239,0.23,0.81458679753909,0.542,0.346
"A330023F24Rik",0.615,0.188899419561276,0.23,0.360380619306316,0.911,0.726
"Susd4",0.615,0.213905687629108,0.23,0.485590178272023,0.752,0.556
"Kifap3",0.615,0.215193530309395,0.23,0.454546564674764,0.815,0.65
"Ralgps2",0.615,0.225835409011276,0.23,0.619510909976527,0.621,0.435
"Pcdh17",0.614,0.298646949568175,0.228,0.670708044241867,0.629,0.43
"Gm48893",0.614,0.314431987682288,0.228,1.74097294568848,0.35,0.137
"Oprm1",0.614,0.482732304559846,0.228,2.2452913169141,0.328,0.113
"Gse1",0.614,0.180732812237765,0.228,0.486886207691824,0.609,0.413
"Ubn2",0.614,0.169197170999663,0.228,0.311207778969984,0.92,0.786
"Lmbr1",0.614,0.213658152907529,0.228,0.56057534771526,0.641,0.461
"Trp53bp1",0.614,0.215915055616514,0.228,0.570420758071201,0.652,0.474
"Gad1",0.614,0.350993988748217,0.228,1.22946625614791,0.391,0.164
"Unc13c",0.613,0.514541288319708,0.226,1.02688961044204,0.504,0.29
"Ryr3",0.613,0.163477976042883,0.226,0.27456485475909,0.837,0.59
"Sms",0.612,0.254580233605874,0.224,1.05828439768483,0.444,0.243
